county,aqi,pollutant,number_of_sites_reporting,date
Erie,64,PM2.5,4,2021-02-21
Erie,46,Ozone,4,2021-02-22
Erie,42,Ozone,4,2021-02-23
Erie,51,Ozone,4,2021-02-24
Erie,39,Ozone,4,2021-02-25
Erie,41,Ozone,4,2021-02-26
Erie,34,Ozone,4,2021-02-27
Erie,36,Ozone,4,2021-02-28
Erie,24,PM2.5,3,2021-03-01
Erie,18,PM2.5,4,2021-03-02
Erie,40,PM2.5,4,2021-03-03
Erie,22,PM2.5,3,2021-03-04
Erie,18,PM2.5,4,2021-03-06
Erie,36,PM2.5,3,2021-03-08
Erie,54,PM2.5,3,2021-03-09
Erie,56,PM2.5,3,2021-03-10
Erie,61,PM2.5,4,2021-03-11
Erie,18,PM2.5,3,2021-03-12
Erie,25,PM2.5,4,2021-03-14
Erie,39,Ozone,4,2021-03-15
Erie,56,PM2.5,4,2021-03-17
Erie,33,PM2.5,3,2021-03-18
Erie,38,Ozone,4,2021-03-19
Erie,45,Ozone,4,2021-03-21
Erie,51,Ozone,4,2021-03-22
Erie,48,Ozone,4,2021-03-23
Erie,39,Ozone,4,2021-03-24
Erie,44,Ozone,4,2021-03-25
Erie,31,Ozone,4,2021-03-26
Erie,35,Ozone,4,2021-03-27
Erie,31,Ozone,4,2021-03-28
Erie,37,Ozone,4,2021-03-29
Erie,47,Ozone,4,2021-03-30
Erie,31,PM2.5,3,2021-03-31
Essex,42,Ozone,3,2021-01-01
Essex,43,Ozone,3,2021-01-02
Essex,43,Ozone,3,2021-01-03
Essex,43,Ozone,3,2021-01-04
Essex,43,Ozone,3,2021-01-05
Essex,42,Ozone,3,2021-01-06
Essex,43,Ozone,3,2021-01-07
Essex,44,Ozone,3,2021-01-08
Essex,44,Ozone,3,2021-01-09
Essex,41,Ozone,3,2021-01-10
Essex,40,Ozone,3,2021-01-11
Essex,31,Ozone,3,2021-01-12
Essex,27,Ozone,3,2021-01-13
Essex,36,PM2.5,3,2021-01-14
Essex,39,Ozone,3,2021-01-15
Essex,34,Ozone,3,2021-01-16
Essex,28,Ozone,3,2021-01-17
Essex,40,Ozone,3,2021-01-18
Essex,40,Ozone,3,2021-01-19
Essex,37,Ozone,3,2021-01-20
Essex,35,Ozone,3,2021-01-21
Essex,30,Ozone,3,2021-01-22
Essex,36,Ozone,3,2021-01-23
Essex,39,Ozone,3,2021-01-24
Essex,38,Ozone,3,2021-01-25
Essex,41,Ozone,3,2021-01-26
Essex,36,Ozone,3,2021-01-27
Essex,34,Ozone,3,2021-01-28
Essex,35,Ozone,3,2021-01-29
Essex,44,Ozone,2,2021-01-30
Essex,46,Ozone,2,2021-01-31
Essex,46,Ozone,3,2021-02-01
Essex,39,Ozone,3,2021-02-02
Essex,40,Ozone,3,2021-02-03
Essex,44,Ozone,3,2021-02-04
Essex,44,Ozone,3,2021-02-05
Essex,40,Ozone,3,2021-02-06
Essex,41,Ozone,3,2021-02-07
Essex,39,Ozone,3,2021-02-08
Essex,40,Ozone,3,2021-02-09
Essex,40,Ozone,3,2021-02-10
Essex,39,Ozone,3,2021-02-11
Essex,42,Ozone,3,2021-02-12
Essex,42,Ozone,3,2021-02-13
Essex,44,Ozone,3,2021-02-14
Essex,43,Ozone,3,2021-02-15
Essex,35,Ozone,3,2021-02-16
Essex,38,Ozone,3,2021-02-17
Essex,46,Ozone,3,2021-02-18
Essex,44,Ozone,3,2021-02-19
Essex,40,Ozone,3,2021-02-20
Essex,43,Ozone,3,2021-02-21
Essex,45,Ozone,3,2021-02-22
Essex,46,Ozone,3,2021-02-23
Essex,45,Ozone,3,2021-02-24
Essex,38,Ozone,3,2021-02-25
Essex,43,Ozone,3,2021-02-26
Essex,43,Ozone,3,2021-02-27
Essex,44,Ozone,3,2021-02-28
Essex,37,Ozone,2,2021-03-01
Essex,41,Ozone,2,2021-03-02
Essex,38,Ozone,2,2021-03-03
Essex,38,Ozone,2,2021-03-04
Essex,39,Ozone,2,2021-03-05
Essex,36,Ozone,2,2021-03-06
Essex,40,Ozone,2,2021-03-07
Essex,58,Ozone,2,2021-03-08
Essex,44,Ozone,2,2021-03-09
Essex,64,Ozone,2,2021-03-10
Essex,61,Ozone,2,2021-03-11
Essex,43,Ozone,2,2021-03-12
Essex,41,Ozone,2,2021-03-13
Essex,42,Ozone,2,2021-03-14
Essex,44,Ozone,2,2021-03-15
Essex,45,Ozone,2,2021-03-16
Essex,44,Ozone,2,2021-03-17
Essex,40,Ozone,2,2021-03-18
Essex,41,Ozone,2,2021-03-19
Essex,46,Ozone,2,2021-03-20
Essex,47,Ozone,2,2021-03-21
Essex,54,Ozone,2,2021-03-22
Essex,61,Ozone,2,2021-03-23
Essex,47,Ozone,2,2021-03-24
Essex,47,Ozone,2,2021-03-25
Essex,40,Ozone,2,2021-03-26
Essex,44,Ozone,2,2021-03-27
Essex,44,Ozone,2,2021-03-28
Essex,47,Ozone,2,2021-03-29
Essex,50,Ozone,2,2021-03-30
Essex,47,Ozone,2,2021-03-31
Hamilton,31,Ozone,1,2021-01-01
Hamilton,32,Ozone,1,2021-01-02
Hamilton,32,Ozone,1,2021-01-03
Hamilton,20,Ozone,1,2021-01-04
Hamilton,28,Ozone,1,2021-01-05
Hamilton,30,Ozone,1,2021-01-06
Hamilton,31,Ozone,1,2021-01-07
Hamilton,32,Ozone,1,2021-01-08
Hamilton,39,Ozone,1,2021-01-09
Hamilton,29,Ozone,1,2021-01-10
Hamilton,31,Ozone,1,2021-01-11
Hamilton,27,Ozone,1,2021-01-12
Hamilton,24,Ozone,1,2021-01-13
Hamilton,19,Ozone,1,2021-01-14
Hamilton,28,Ozone,1,2021-01-15
Hamilton,28,Ozone,1,2021-01-16
Hamilton,30,Ozone,1,2021-01-17
Hamilton,31,Ozone,1,2021-01-18
Hamilton,30,Ozone,1,2021-01-19
Hamilton,31,Ozone,1,2021-01-20
Hamilton,26,Ozone,1,2021-01-21
Hamilton,30,Ozone,1,2021-01-22
Hamilton,34,Ozone,1,2021-01-23
Hamilton,38,Ozone,1,2021-01-24
Hamilton,36,Ozone,1,2021-01-25
Hamilton,33,Ozone,1,2021-01-26
Hamilton,35,Ozone,1,2021-01-27
Hamilton,34,Ozone,1,2021-01-28
Hamilton,34,Ozone,1,2021-01-29
Hamilton,36,Ozone,1,2021-01-30
Hamilton,35,Ozone,1,2021-01-31
Hamilton,39,Ozone,1,2021-02-01
Hamilton,37,Ozone,1,2021-02-02
Hamilton,39,Ozone,1,2021-02-03
Hamilton,42,Ozone,1,2021-02-04
Hamilton,35,Ozone,1,2021-02-05
Hamilton,38,Ozone,1,2021-02-06
Hamilton,37,Ozone,1,2021-02-07
Hamilton,35,Ozone,1,2021-02-08
Hamilton,35,Ozone,1,2021-02-09
Hamilton,39,Ozone,1,2021-02-10
Hamilton,37,Ozone,1,2021-02-11
Hamilton,36,Ozone,1,2021-02-12
