county,deaths,date
Erie,1320,2021-01-12
Essex,16,2021-01-12
Franklin,9,2021-01-12
Fulton,45,2021-01-12
Genesee,87,2021-01-12
Greene,46,2021-01-12
Hamilton,1,2021-01-12
Herkimer,40,2021-01-12
Jefferson,17,2021-01-12
Kings,5586,2021-01-12
Lewis,21,2021-01-12
Livingston,33,2021-01-12
Madison,73,2021-01-12
Manhattan,2318,2021-01-12
Monroe,724,2021-01-12
Montgomery,67,2021-01-12
Nassau,2504,2021-01-12
Niagara,227,2021-01-12
Non-NYS,161,2021-01-12
Oneida,320,2021-01-12
Onondaga,508,2021-01-12
Ontario,76,2021-01-12
Orange,556,2021-01-12
Orleans,65,2021-01-12
Oswego,61,2021-01-12
Otsego,20,2021-01-12
Putnam,70,2021-01-12
Queens,5523,2021-01-12
Rensselaer,98,2021-01-12
Richmond,931,2021-01-12
Rockland,611,2021-01-12
Saratoga,65,2021-01-12
Schenectady,112,2021-01-12
Schoharie,5,2021-01-12
Schuyler,10,2021-01-12
Seneca,44,2021-01-12
St. Lawrence,52,2021-01-12
Statewide Total,32175,2021-01-12
Steuben,128,2021-01-12
Suffolk,2502,2021-01-12
Sullivan,48,2021-01-12
Tioga,54,2021-01-12
Tompkins,20,2021-01-12
Ulster,175,2021-01-12
Warren,35,2021-01-12
Washington,20,2021-01-12
Wayne,48,2021-01-12
Westchester,1750,2021-01-12
Wyoming,36,2021-01-12
Yates,15,2021-01-12
Albany,245,2021-01-13
Allegany,75,2021-01-13
Bronx,3644,2021-01-13
Broome,245,2021-01-13
Cattaraugus,59,2021-01-13
Cayuga,63,2021-01-13
Chautauqua,46,2021-01-13
Chemung,107,2021-01-13
Chenango,37,2021-01-13
Clinton,13,2021-01-13
Columbia,66,2021-01-13
Cortland,52,2021-01-13
Delaware,16,2021-01-13
Dutchess,286,2021-01-13
Erie,1333,2021-01-13
Essex,16,2021-01-13
Franklin,9,2021-01-13
Fulton,47,2021-01-13
Genesee,90,2021-01-13
Greene,47,2021-01-13
Hamilton,1,2021-01-13
Herkimer,45,2021-01-13
Jefferson,19,2021-01-13
Kings,5609,2021-01-13
Lewis,21,2021-01-13
Livingston,34,2021-01-13
Madison,74,2021-01-13
Manhattan,2323,2021-01-13
Monroe,730,2021-01-13
Montgomery,70,2021-01-13
Nassau,2508,2021-01-13
Niagara,229,2021-01-13
Non-NYS,162,2021-01-13
Oneida,326,2021-01-13
Onondaga,511,2021-01-13
Ontario,76,2021-01-13
Orange,558,2021-01-13
Orleans,65,2021-01-13
Oswego,62,2021-01-13
Otsego,21,2021-01-13
Putnam,70,2021-01-13
Queens,5544,2021-01-13
Rensselaer,100,2021-01-13
Richmond,934,2021-01-13
Rockland,613,2021-01-13
Saratoga,69,2021-01-13
Schenectady,114,2021-01-13
Schoharie,5,2021-01-13
Schuyler,10,2021-01-13
Seneca,44,2021-01-13
St. Lawrence,55,2021-01-13
Statewide Total,32379,2021-01-13
Steuben,130,2021-01-13
Suffolk,2524,2021-01-13
Sullivan,48,2021-01-13
Tioga,54,2021-01-13
Tompkins,22,2021-01-13
Ulster,179,2021-01-13
