Report Date,County,Place of Fatality,Deaths by County of Residence
1/9/21,Schoharie,0,5
1/9/21,Schuyler,4,10
1/9/21,Seneca,28,44
1/9/21,St. Lawrence,49,49
1/9/21,Statewide Total,31672,31672
1/9/21,Steuben,110,127
1/9/21,Suffolk,2496,2453
1/9/21,Sullivan,41,48
1/9/21,Tioga,39,54
1/9/21,Tompkins,21,18
1/9/21,Ulster,98,167
1/9/21,Warren,41,33
1/9/21,Washington,12,19
1/9/21,Wayne,24,46
1/9/21,Westchester,1882,1730
1/9/21,Wyoming,24,32
1/9/21,Yates,9,14
1/10/21,Albany,353,234
1/10/21,Allegany,54,75
1/10/21,Bronx,3308,3621
1/10/21,Broome,249,229
1/10/21,Cattaraugus,53,58
1/10/21,Cayuga,44,52
1/10/21,Chautauqua,40,38
1/10/21,Chemung,128,104
1/10/21,Chenango,25,33
1/10/21,Clinton,14,12
1/10/21,Columbia,60,65
1/10/21,Cortland,47,48
1/10/21,Delaware,6,14
1/10/21,Dutchess,293,275
1/10/21,Erie,1395,1301
1/10/21,Essex,13,16
1/10/21,Franklin,8,9
1/10/21,Fulton,29,43
1/10/21,Genesee,78,85
1/10/21,Greene,17,38
1/10/21,Hamilton,0,1
1/10/21,Herkimer,15,35
1/10/21,Jefferson,13,16
1/10/21,Kings,5004,5563
1/10/21,Lewis,7,21
1/10/21,Livingston,17,32
1/10/21,Madison,69,73
1/10/21,Manhattan,3731,2309
1/10/21,Monroe,781,698
1/10/21,Montgomery,61,65
1/10/21,Nassau,3044,2489
1/10/21,Niagara,160,221
1/10/21,Non-NYS,0,159
1/10/21,Oneida,311,310
1/10/21,Onondaga,551,501
1/10/21,Ontario,91,75
1/10/21,Orange,570,551
1/10/21,Orleans,42,65
1/10/21,Oswego,44,56
1/10/21,Otsego,23,20
1/10/21,Putnam,67,68
1/10/21,Queens,4416,5492
1/10/21,Rensselaer,82,95
1/10/21,Richmond,922,928
1/10/21,Rockland,566,608
1/10/21,Saratoga,39,59
1/10/21,Schenectady,98,109
1/10/21,Schoharie,0,5
1/10/21,Schuyler,4,10
1/10/21,Seneca,28,44
1/10/21,St. Lawrence,49,49
1/10/21,Statewide Total,31841,31841
1/10/21,Steuben,110,127
1/10/21,Suffolk,2510,2466
1/10/21,Sullivan,41,48
1/10/21,Tioga,39,54
1/10/21,Tompkins,21,18
1/10/21,Ulster,101,170
1/10/21,Warren,42,33
1/10/21,Washington,12,19
1/10/21,Wayne,24,46
1/10/21,Westchester,1888,1736
1/10/21,Wyoming,25,33
1/10/21,Yates,9,14
1/11/21,Albany,358,237
1/11/21,Allegany,54,75
1/11/21,Bronx,3316,3630
1/11/21,Broome,253,233
1/11/21,Cattaraugus,53,58
1/11/21,Cayuga,48,56
1/11/21,Chautauqua,42,40
1/11/21,Chemung,130,106
1/11/21,Chenango,25,33
1/11/21,Clinton,13,11
1/11/21,Columbia,64,66
1/11/21,Cortland,48,50
1/11/21,Delaware,6,14
1/11/21,Dutchess,296,277
1/11/21,Erie,1408,1312
1/11/21,Essex,13,16
1/11/21,Franklin,8,9
1/11/21,Fulton,29,43
1/11/21,Genesee,79,86
1/11/21,Greene,18,44
1/11/21,Hamilton,0,1
1/11/21,Herkimer,15,36
1/11/21,Jefferson,13,16
1/11/21,Kings,5015,5573
1/11/21,Lewis,7,21
1/11/21,Livingston,17,33
1/11/21,Madison,69,73
1/11/21,Manhattan,3736,2316
1/11/21,Monroe,797,712
1/11/21,Montgomery,62,66
1/11/21,Nassau,3057,2496
1/11/21,Niagara,161,224
1/11/21,Non-NYS,0,160
1/11/21,Oneida,316,314
1/11/21,Onondaga,557,505
1/11/21,Ontario,92,76
1/11/21,Orange,572,553
1/11/21,Orleans,42,65
1/11/21,Oswego,44,57
1/11/21,Otsego,23,20
1/11/21,Putnam,67,68
1/11/21,Queens,4427,5507
1/11/21,Rensselaer,82,95
1/11/21,Richmond,925,931
1/11/21,Rockland,567,609
1/11/21,Saratoga,41,62
1/11/21,Schenectady,98,109
1/11/21,Schoharie,0,5
1/11/21,Schuyler,4,10
1/11/21,Seneca,28,44
1/11/21,St. Lawrence,51,51
1/11/21,Statewide Total,32007,32007
1/11/21,Steuben,111,128
1/11/21,Suffolk,2530,2487
1/11/21,Sullivan,41,48
1/11/21,Tioga,39,54
1/11/21,Tompkins,21,18
1/11/21,Ulster,106,175
1/11/21,Warren,42,33
1/11/21,Washington,12,19
1/11/21,Wayne,25,47
1/11/21,Westchester,1897,1744
1/11/21,Wyoming,27,35
1/11/21,Yates,10,15
1/12/21,Albany,366,241
1/12/21,Allegany,54,75
